259	1771.02		148.4
260	1771.03		143.5
261	1771.04		142.3
262	1771.05		139.1
263	1771.06		136.4
264	1771.07		140.5
265	1771.08		148.1
266	1771.09		150.1
267	1771.10		150.9
268	1771.11		144.8
269	1771.12		132.5
270	1772.01		128.9
271	1772.02		129.4
272	1772.03		125.7
273	1772.04		121.4
274	1772.05		117.9
275	1772.06		113
276	1772.07		107.6
277	1772.08		100.1
278	1772.09		97.2
279	1772.10		94.5
280	1772.11		90.6
281	1772.12		88.8
282	1773.01		83.4
283	1773.02		76.9
284	1773.03		72.4
285	1773.04		67.3
286	1773.05		62.3
287	1773.06		59.4
288	1773.07		57.4
289	1773.08		59.4
290	1773.09		62.2
291	1773.10		63.3
292	1773.11		64.8
293	1773.12		65.5
294	1774.01		64.8
295	1774.02		63.7
296	1774.03		61.8
297	1774.04		59.4
298	1774.05		56.9
299	1774.06		53.2
300	1774.07		48.1
301	1774.08		40.6
302	1774.09		33
303	1774.10		27.7
304	1774.11		22.1
305	1774.12		17.7
306	1775.01		15.4
307	1775.02		14.4
308	1775.03		14.1
309	1775.04		13.2
310	1775.05		12.5
311	1775.06		12
312	1775.07		12.9
313	1775.08		14.9
314	1775.09		15.3
315	1775.10		15.7
316	1775.11		16.9
317	1775.12		17.9
318	1776.01		18.4
319	1776.02		19.5
320	1776.03		21.5
321	1776.04		24.1
322	1776.05		27.2
323	1776.06		30.8
324	1776.07		34.7
325	1776.08		38
326	1776.09		42
327	1776.10		49.4
328	1776.11		59.3
329	1776.12		68.4
330	1777.01		79.2
331	1777.02		91.8
332	1777.03		104.9
333	1777.04		117.1
334	1777.05		130.2
335	1777.06		146
336	1777.07		163.4
337	1777.08		177.6
338	1777.09		189.3
339	1777.10		199.3
340	1777.11		213.7
341	1777.12		231.1
342	1778.01		241.4
343	1778.02		247.4
344	1778.03		253.2
345	1778.04		260.5
346	1778.05		264.3
347	1778.06		260.9
348	1778.07		252.9
349	1778.08		252.5
350	1778.09		255.3
