0	135.9
1	137.9
2	140.2
3	143.8
4	146.4
5	147.9
6	148.4
7	150.3
8	153.9
9	154.3
10	147
11	139.7
12	138.8
13	136.3
14	131
15	125.7
16	121.5
17	116
18	111.3
19	106.9
20	99.2
21	91.6
22	86.2
23	81.6
24	77
25	75
26	77.3
27	79.2
28	79.4
29	78.5
30	78.6
31	77.3
32	75.5
33	77.3
34	79.6
35	79.9
36	80.3
37	79.7
38	76.7
39	73.4
40	70.3
41	68.1
42	63.6
43	60.4
44	61.1
45	59.7
46	57
47	53.4
48	48.1
49	43
50	37.9
51	33.2
52	30.4
53	29
54	28.5
55	26.4
56	23.2
57	21.7
58	21.2
59	20.5
60	21.1
61	22.3
62	23.3
63	23.1
64	21.2
65	17.9
66	15.3
67	14
68	14
69	14.7
70	14.2
71	14.8
72	16.1
73	16
74	15.6
75	15.7
76	16.8
77	18.5
78	19.1
79	19
80	18.8
81	17.7
82	17.7
83	17.7
84	17.1
85	18.2
86	20.6
87	23.5
88	26.7
89	28.5
90	29.9
91	34.6
92	39.6
93	42.8
94	47.4
95	52.4
96	55.7
97	59.5
98	63.2
99	67.7
100	71.2
101	74
102	77.6
103	78
104	78.7
105	80.7
106	79.5
107	78.7
108	80.1
109	80.3
110	79.6
111	77.6
112	76.1
113	76.6
114	77.4
115	80.2
116	83.5
117	86
118	87.8
119	89
120	91.3
121	93.7
122	96.7
123	99.4
124	101.8
125	103.3
126	104.2
127	105.5
128	104.7
129	103
130	103.3
131	104.5
132	105
133	107.3
134	109.9
135	111.3
136	114.7
137	120.7
138	126.1
139	129.2
140	133
141	138.4
142	143.1
143	144.1
144	141.3
145	138.2
146	134.5
147	131.3
148	125.8
149	119.6
150	113.8
151	108
152	104.2
153	100.6
154	98.4
155	99.7
156	102.8
157	100.8
158	97.2
159	94.5
160	92.1
161	88.8
162	87.3
163	85.9
164	83
165	81.3
166	78.6
167	76.3
168	75.4
169	77.6
170	79.9
171	80.4
172	81.3
173	81.7
174	79.7
175	78.2
176	75.7
177	71.7
178	68
179	63.1
180	58.1
181	53.3
182	49.9
183	48
184	45.4
185	43.1
186	42.2
187	41.9
188	41.1
189	39.2
190	37.4
191	35.7
192	34
193	32.1
194	31.9
195	31.6
196	30.9
197	30.2
198	27.4
199	24
200	21.4
201	19.9
202	18.7
203	18.6
204	20.1
205	22.5
206	24.2
207	26.6
208	28.6
209	30.9
210	34.3
211	38.2
212	43.4
213	48.8
214	54.9
215	60.7
216	64.9
217	69.2
218	71.9
219	72.8
220	76.8
221	83.2
222	88.4
223	92.4
224	96.4
225	101
226	105.8
227	112.4
228	117.8
229	119.1
230	120.2
231	125.2
232	128.7
233	129.6
234	135.4
235	143.7
236	152.5
237	163.2
238	172.8
239	176.8
240	178.9
241	186.4
242	193
243	190.9
244	187.5
245	186.5
246	185.1
247	184.9
248	182.2
249	175.3
250	170.4
251	168.7
252	163.3
253	151.9
254	142.9
255	141.5
256	148.2
257	156.5
258	156.1
259	148.4
260	143.5
261	142.3
262	139.1
263	136.4
264	140.5
265	148.1
266	150.1
267	150.9
268	144.8
269	132.5
270	128.9
271	129.4
272	125.7
273	121.4
274	117.9
275	113
276	107.6
277	100.1
278	97.2
279	94.5
280	90.6
281	88.8
282	83.4
283	76.9
284	72.4
285	67.3
286	62.3
287	59.4
288	57.4
289	59.4
290	62.2
291	63.3
292	64.8
293	65.5
294	64.8
295	63.7
296	61.8
297	59.4
298	56.9
299	53.2
300	48.1
301	40.6
302	33
303	27.7
304	22.1
305	17.7
306	15.4
307	14.4
308	14.1
309	13.2
310	12.5
311	12
312	12.9
313	14.9
314	15.3
315	15.7
316	16.9
317	17.9
318	18.4
319	19.5
320	21.5
321	24.1
322	27.2
323	30.8
324	34.7
325	38
326	42
327	49.4
328	59.3
329	68.4
330	79.2
331	91.8
332	104.9
333	117.1
334	130.2
335	146
336	163.4
337	177.6
338	189.3
339	199.3
340	213.7
341	231.1
342	241.4
343	247.4
344	253.2
345	260.5
346	264.3
347	260.9
348	252.9
349	252.5
350	255.3
351	254.2
352	247.3
353	236.4
354	231.7
355	229.1
356	222.9
357	216.5
358	211.7
359	209.5
360	206.8
361	199
362	192.9
363	188
364	182.3
365	178.2
366	172.5
367	166.7
368	163.7
369	159.2
370	152.2
371	144.9
372	143.3
373	143.7
374	139
375	134
376	131.9
377	132.4
378	132.2
379	130
380	125.6
381	119.2
382	116.3
383	115.1
384	110.4
385	104.7
386	101
387	98
388	92.6
389	85
390	78.3
391	74.2
392	71.5
393	70
394	67.3
395	64.5
396	62.3
397	60.6
398	59.9
399	58.3
400	55.3
401	52.2
402	51
403	49
404	46.2
405	44.1
406	41.9
407	39.4
408	37
409	33.8
410	30.6
411	28.2
412	25.7
413	23.4
414	20.5
415	18
416	16.7
417	16.2
418	16.3
419	16.7
420	16.5
421	16
422	15.9
423	16.2
424	17.6
425	19.8
426	23.1
427	25.9
428	28.1
429	32.4
430	36.7
431	39.2
432	42.3
433	47.2
434	52.6
435	60.1
436	69.9
437	77.2
438	82.7
439	90.8
440	101.1
441	111.2
442	121
443	132.2
444	144.9
445	155.7
446	162.5
447	168.2
448	174
449	179.8
450	185.7
451	192.1
452	198.6
453	204.9
454	209.8
455	215.8
456	220.3
457	222.1
458	227.6
459	230.2
460	227.4
461	229.7
462	234.4
463	235.3
464	234.1
465	231.9
466	227.6
467	221.3
468	216.5
469	214.6
470	212.7
471	212.1
472	213.8
473	212.2
474	208.1
475	204.1
476	199.8
477	194.2
478	193.3
479	196.4
480	196.1
481	195.5
482	194
